Time,Total length,FPS,Annotation code,startstop,manual,Time (mm:ss.ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss.ms),,
683.639,1321.53,30,C,START,BIMANUAL,11:23.639,683639,715300.0035,11:55.1155,,
701.81,1321.53,30,C,STOP,BIMANUAL,11:41.810,701810,734173.2533,12:14.1214,,
701.95,1321.53,30,EVS,START,BIMANUAL,11:41.950,701950,734318.6638,12:14.1214,,
707.158,1321.53,30,EVS,STOP,BIMANUAL,11:47.158,707158,739727.936,12:20.1220,,
707.16,1321.53,30,C,START,BIMANUAL,11:47.160,707160,739730.0133,12:20.1220,,
726.547,1321.53,30,C,STOP,BIMANUAL,12:06.547,726547,759866.2575,12:40.1240,,
726.792,1321.53,30,EVS,START,BIMANUAL,12:06.792,726792,760120.726,12:40.1240,,
734.513,1321.53,30,EVS,STOP,BIMANUAL,12:14.513,734513,768140.1174,12:48.1248,,
734.704,1321.53,30,C,START,BIMANUAL,12:14.704,734704,768338.4989,12:48.1248,,
738.297,1321.53,30,C,STOP,BIMANUAL,12:18.297,738297,772070.3566,12:52.1252,,
739.514,1321.53,30,ST,START,BIMANUAL,12:19.514,739514,773334.3897,12:53.1253,,
766.49,1321.53,30,ST,STOP,BIMANUAL,12:46.490,766490,801352.9239,13:21.1321,,
766.491,1321.53,30,C,START,BIMANUAL,12:46.491,766491,801353.9626,13:21.1321,,
794.873,1321.53,30,C,STOP,BIMANUAL,13:14.873,794873,830832.8341,13:51.1351,,
798.178,1321.53,30,EVS,START,BIMANUAL,13:18.178,798178,834265.5616,13:54.1354,,
803.187,1321.53,30,EVS,STOP,BIMANUAL,13:23.187,803187,839468.143,13:59.1359,,
803.229,1321.53,30,C,START,BIMANUAL,13:23.229,803229,839511.7662,14:00.140,,
816.04,1321.53,30,C,STOP,BIMANUAL,13:36.040,816040,852817.8695,14:13.1413,,
827.428,1321.53,30,EVS,START,SINGLE,13:47.428,827428,864645.9785,14:25.1425,,
832.054,1321.53,30,EVS,STOP,SINGLE,13:52.054,832054,869450.7583,14:29.1429,,
832.13,1321.53,30,C,START,BIMANUAL,13:52.130,832130,869529.6954,14:30.1430,,
838.33,1321.53,30,C,STOP,BIMANUAL,13:58.330,838330,875969.3051,14:36.1436,,
838.889,1321.53,30,EVS,START,SINGLE,13:58.889,838889,876549.9087,14:37.1437,,
851.423,1321.53,30,EVS,STOP,SINGLE,14:11.423,851423,889568.3068,14:50.1450,,
851.509,1321.53,30,C,START,BIMANUAL,14:11.509,851509,889657.6304,14:50.1450,,
870.035,1321.53,30,C,STOP,BIMANUAL,14:30.035,870035,908899.5998,15:09.159,,
904.558,1321.53,30,C,START,BIMANUAL,15:04.558,904558,944756.8009,15:45.1545,,
905.553,1321.53,30,C,STOP,BIMANUAL,15:05.553,905553,945790.2544,15:46.1546,,
910.085,1321.53,30,EVS,START,BIMANUAL,15:10.085,910085,950497.4014,15:50.1550,,
918.567,1321.53,30,EVS,STOP,BIMANUAL,15:18.567,918567,959307.203,15:59.1559,,
918.568,1321.53,30,C,START,BIMANUAL,15:18.568,918568,959308.2416,15:59.1559,,
932.155,1321.53,30,C,STOP,BIMANUAL,15:32.155,932155,973420.3348,16:13.1613,,
932.871,1321.53,30,EVS,START,SINGLE,15:32.871,932871,974164.0058,16:14.1614,,
945.485,1321.53,30,EVS,STOP,SINGLE,15:45.485,945485,987265.4957,16:27.1627,,
952.264,1321.53,30,C,START,BIMANUAL,15:52.264,952264,994306.4819,16:34.1634,,
1009.541,1321.53,30,C,STOP,BIMANUAL,16:49.541,1009541,1053797.051,17:34.1734,,
1019.648,1321.53,30,C,START,BIMANUAL,16:59.648,1019648,1064294.653,17:44.1744,,
1053.495,1321.53,30,C,STOP,BIMANUAL,17:33.495,1053495,1099449.729,18:19.1819,,
1056.772,1321.53,30,C,START,BIMANUAL,17:36.772,1056772,1102853.375,18:23.1823,,
1067.448,1321.53,30,C,STOP,BIMANUAL,17:47.448,1067448,1113941.967,18:34.1834,,
1067.64,1321.53,30,EVS,START,SINGLE,17:47.640,1067640,1114141.387,18:34.1834,,
1071.041,1321.53,30,EVS,STOP,SINGLE,17:51.041,1071041,1117673.825,18:38.1838,,
1071.042,1321.53,30,C,START,BIMANUAL,17:51.042,1071042,1117674.863,18:38.1838,,
1074.019,1321.53,30,C,STOP,BIMANUAL,17:54.019,1074019,1120766.915,18:41.1841,,
1094.961,1321.53,30,EVS,START,SINGLE,18:14.961,1094961,1142518.255,19:03.193,,
1098.106,1321.53,30,EVS,STOP,SINGLE,18:18.106,1098106,1145784.799,19:06.196,,
1098.318,1321.53,30,C,START,BIMANUAL,18:18.318,1098318,1146004.992,19:06.196,,
1114.621,1321.53,30,C,STOP,BIMANUAL,18:34.621,1114621,1162938.049,19:23.1923,,
1115.338,1321.53,30,EVS,START,SINGLE,18:35.338,1115338,1163682.759,19:24.1924,,
1117.842,1321.53,30,EVS,STOP,SINGLE,18:37.842,1117842,1166283.531,19:26.1926,,
1117.843,1321.53,30,C,START,BIMANUAL,18:37.843,1117843,1166284.569,19:26.1926,,
