"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",1,0.570227229987782,0.562548338401889,0.51779300860448,-0.0511119253354949,0.211709309726019,0.50884246680884,0.346998262670783,0.287381693356401,0.200980490293823,0.261817590538147
"v_mean_norm",0.570227229987782,1,0.961194742521119,0.881921345839354,-0.273972878987948,0.600289726885858,0.939440754191647,0.732219107005365,0.624393164947394,0.179576406972296,0.729275185104858
"a_mean_norm",0.562548338401889,0.961194742521119,1,0.941963489171144,-0.15161545440324,0.591189310938809,0.914670698634359,0.837644564397639,0.741284671349466,0.287803453920279,0.71256913642086
"j_mean_norm",0.51779300860448,0.881921345839354,0.941963489171144,1,-0.109921200407342,0.591156787605078,0.837943823203987,0.849860427140282,0.821733891733147,0.270707851638492,0.702491310299079
"c_mean_norm",-0.0511119253354949,-0.273972878987948,-0.15161545440324,-0.109921200407342,1,0.0702818704630362,-0.196909798643964,-0.1242374108113,-0.0793419194587737,0.759514418661551,-0.245200556953918
"tip_distance_mean_norm",0.211709309726019,0.600289726885858,0.591189310938809,0.591156787605078,0.0702818704630362,1,0.594977157521461,0.434383877091823,0.40989930356551,0.2742738164185,0.69648860824436
"v_sd_norm",0.50884246680884,0.939440754191647,0.914670698634359,0.837943823203987,-0.196909798643964,0.594977157521461,1,0.730450940477515,0.621770177565861,0.26015246370586,0.774914223106983
"a_sd_norm",0.346998262670783,0.732219107005365,0.837644564397639,0.849860427140282,-0.1242374108113,0.434383877091823,0.730450940477515,1,0.971147966169772,0.267193744546683,0.641846719376573
"j_sd_norm",0.287381693356401,0.624393164947394,0.741284671349466,0.821733891733147,-0.0793419194587737,0.40989930356551,0.621770177565861,0.971147966169772,1,0.246034186033175,0.594493014189586
"c_sd_norm",0.200980490293823,0.179576406972296,0.287803453920279,0.270707851638492,0.759514418661551,0.2742738164185,0.26015246370586,0.267193744546683,0.246034186033175,1,0.118649069590123
"tip_distance_sd_norm",0.261817590538147,0.729275185104858,0.71256913642086,0.702491310299079,-0.245200556953918,0.69648860824436,0.774914223106983,0.641846719376573,0.594493014189586,0.118649069590123,1
