Time,Total length,FPS,Annotation code,startstop,Manual,Time (mm:ss:ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss:ms)
392.516,1165.27,30,C,STOP,BIMANUAL,06:32.516,392516,422949.1217,07:02.949
392.831,1165.27,30,IS,START,BIMANUAL,06:32.831,392831,423291.5913,07:03.292
396.181,1165.27,30,IS,STOP,BIMANUAL,06:36.181,396181,426933.728,07:06.934
396.501,1165.27,30,C,START,BIMANUAL,06:36.501,396501,427281.6336,07:07.282
400.841,1165.27,30,C,STOP,BIMANUAL,06:40.841,400841,432000.1033,07:12.000
400.913,1165.27,30,EVS,START,BIMANUAL,06:40.913,400913,432078.3821,07:12.078
405.324,1165.27,30,EVS,STOP,BIMANUAL,06:45.324,405324,436874.0434,07:16.874
405.459,1165.27,30,IS,START,BIMANUAL,06:45.459,405459,437020.816,07:17.021
409.677,1165.27,30,IS,STOP,BIMANUAL,06:49.677,409677,441606.6467,07:21.607
409.737,1165.27,30,C,START,BIMANUAL,06:49.737,409737,441671.879,07:21.672
414.016,1165.27,30,C,STOP,BIMANUAL,06:54.016,414016,446324.0292,07:26.324
414.537,1165.27,30,EVS,START,BIMANUAL,06:54.537,414537,446890.463,07:26.890
417.123,1165.27,30,EVS,STOP,BIMANUAL,06:57.123,417123,449701.9752,07:29.702
417.238,1165.27,30,C,START,BIMANUAL,06:57.238,417238,449827.0037,07:29.827
428.332,1165.27,30,C,STOP,BIMANUAL,07:08.332,428332,461888.456,07:41.888
428.346,1165.27,30,IS,START,BIMANUAL,07:08.346,428346,461903.6769,07:41.904
433.323,1165.27,30,IS,STOP,BIMANUAL,07:13.323,433323,467314.6962,07:47.315
433.55,1165.27,30,C,START,BIMANUAL,07:13.550,433550,467561.4917,07:47.561
437.229,1165.27,30,C,STOP,BIMANUAL,07:17.229,437229,471561.3189,07:51.561
438.618,1165.27,30,IS,START,BIMANUAL,07:18.618,438618,473071.4466,07:53.071
446.77,1165.27,30,IS,STOP,BIMANUAL,07:26.770,446770,481934.3418,08:01.934
446.789,1165.27,30,EVS,START,BIMANUAL,07:26.789,446789,481954.9987,08:01.955
453.849,1165.27,30,EVS,STOP,BIMANUAL,07:33.849,453849,489630.666,08:09.631
453.85,1165.27,30,C,START,BIMANUAL,07:33.850,453850,489631.7532,08:09.632
463.798,1165.27,30,C,STOP,BIMANUAL,07:43.798,463798,500447.2685,08:20.447
464.159,1165.27,30,EVS,START,BIMANUAL,07:44.159,464159,500839.7495,08:20.840
466.403,1165.27,30,EVS,STOP,BIMANUAL,07:46.403,466403,503279.4376,08:23.279
466.835,1165.27,30,IS,START,BIMANUAL,07:46.835,466835,503749.1101,08:23.749
472.878,1165.27,30,IS,STOP,BIMANUAL,07:52.878,472878,510319.0899,08:30.319
473.074,1165.27,30,C,START,BIMANUAL,07:53.074,473074,510532.1821,08:30.532
474.648,1165.27,30,C,STOP,BIMANUAL,07:54.648,474648,512243.4428,08:32.243
474.728,1165.27,30,EVS,START,BIMANUAL,07:54.728,474728,512330.4192,08:32.330
479.596,1165.27,30,EVS,STOP,BIMANUAL,07:59.596,479596,517622.9331,08:37.623
479.818,1165.27,30,C,START,BIMANUAL,07:59.818,479818,517864.2926,08:37.864
491.277,1165.27,30,C,STOP,BIMANUAL,08:11.277,491277,530322.5747,08:50.323
497.226,1165.27,30,EVS,START,BIMANUAL,08:17.226,497226,536790.3573,08:56.790
499.326,1165.27,30,EVS,STOP,BIMANUAL,08:19.326,499326,539073.4878,08:59.073
499.486,1165.27,30,C,START,BIMANUAL,08:19.486,499486,539247.4406,08:59.247
501.296,1165.27,30,C,STOP,BIMANUAL,08:21.296,501296,541215.2816,09:01.215
514.266,1165.27,30,EVS,START,BIMANUAL,08:34.266,514266,555316.3305,09:15.316
521.109,1165.27,30,EVS,STOP,BIMANUAL,08:41.109,521109,562756.0743,09:22.756
521.4,1165.27,30,C,START,BIMANUAL,08:41.400,521400,563072.4509,09:23.072
541.055,1165.27,30,C,STOP,BIMANUAL,09:01.055,541055,584441.4652,09:44.441
