Frame Number ; Time Stamp ; Point Of Regard X ; Point Of Regard Y ; Pupil Area Right Eye, sq.mm ; Pupil Area Left Eye, sq.mm ; Pupil Area Right Eye, px ; Pupil Area Left Eye, px ; Score Value ; Score Value Left Eye ; Score Value Right Eye ; Clients Event
64127 ; 2216320.565 ; 0.4626 ; 0.8088 ; 7.03 ; 3.65 ; 2534 ; 3085 ; 0.23 ; 0.000 ; 0.000 ; click: x = 0.48, y = 0.2208
64128 ; 2216355.168 ; 0.4633 ; 0.8186 ; 7.33 ; 3.77 ; 2626 ; 3097 ; 0.22 ; 0.000 ; 0.000 ; click: x = 0.6144, y = 0.2083
64129 ; 2216389.981 ; 0.4691 ; 0.8225 ; 7.43 ; 3.91 ; 2599 ; 3169 ; 0.22 ; 0.000 ; 0.000 ; click: x = 0.7691, y = 0.1938
64130 ; 2216423.745 ; 0.4659 ; 0.8351 ; 7.29 ; 3.96 ; 2537 ; 3196 ; 0.23 ; 0.000 ; 0.000 ; click: x = 0.366, y = 0.4875
64131 ; 2216459.606 ; 0.4653 ; 0.8484 ; 7.32 ; 4.10 ; 2566 ; 3207 ; 0.24 ; 0.000 ; 0.000 ; click: x = 0.3738, y = 0.4896
64132 ; 2216495.048 ; 0.4748 ; 0.8487 ; 7.48 ; 4.06 ; 2684 ; 3200 ; 0.23 ; 0.000 ; 0.000 ; click: x = 0.541, y = 0.4813
64133 ; 2216528.183 ; 0.4845 ; 0.8499 ; 7.27 ; 4.01 ; 2690 ; 3155 ; 0.21 ; 0.000 ; 0.000 ; click: x = 0.805, y = 0.4375
64134 ; 2216561.947 ; 0.4928 ; 0.8497 ; 7.26 ; 3.98 ; 2670 ; 3115 ; 0.22 ; 0.000 ; 0.000 ; click: x = 0.416, y = 0.7604
64135 ; 2216596.550 ; 0.4991 ; 0.8486 ; 7.32 ; 3.98 ; 2678 ; 3089 ; 0.24 ; 0.000 ; 0.000 ; click: x = 0.5628, y = 0.7438
64136 ; 2216630.315 ; 0.5034 ; 0.8543 ; 7.35 ; 3.98 ; 2687 ; 3042 ; 0.24 ; 0.000 ; 0.000 ; click: x = 0.7222, y = 0.725
64137 ; 2216663.659 ; 0.5043 ; 0.8698 ; 7.53 ; 3.99 ; 2692 ; 2990 ; 0.23 ; 0.000 ; 0.000 ; click: x = 0.7144, y = 0.725
64138 ; 2216697.423 ; 0.5052 ; 0.8870 ; 7.38 ; 3.81 ; 2607 ; 2944 ; 0.25 ; 0.000 ; 0.000 ; click: x = 0.58, y = 0.7042
64139 ; 2216731.188 ; 0.5457 ; 0.8340 ; 5.68 ; 3.62 ; 1916 ; 2698 ; 0.06 ; 0.000 ; 0.000 ; click: x = 0.5785, y = 0.7021
64140 ; 2216766.420 ; 0.4432 ; 1.0313 ; 6.23 ; 4.75 ; 1912 ; 3192 ; 0.22 ; 0.000 ; 0.000 ; 
64141 ; 2216804.378 ; 0.6991 ; 0.7660 ; 17.96 ; 12.34 ; 7871 ; 4147 ; 0.14 ; 0.000 ; 0.000 ; 
64142 ; 2216845.482 ; 0.6991 ; 0.7660 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.49 ; 0.000 ; 0.000 ; 
64143 ; 2216882.602 ; 0.6991 ; 0.7660 ; 32.11 ; 0.00 ; 4323 ; 0 ; -3.67 ; 0.000 ; 0.000 ; 
64144 ; 2216926.432 ; 0.6991 ; 0.7660 ; 6.16 ; 24.33 ; 3100 ; 5474 ; 0.23 ; 0.000 ; 0.000 ; 
64145 ; 2216967.327 ; 0.6991 ; 0.7660 ; 5.90 ; 4.83 ; 2264 ; 2632 ; 0.20 ; 0.000 ; 0.000 ; 
64146 ; 2217007.802 ; 0.5726 ; 0.6053 ; 5.83 ; 9.03 ; 2288 ; 3099 ; 0.16 ; 0.000 ; 0.000 ; 
64147 ; 2217048.067 ; 0.5834 ; 0.5999 ; 5.90 ; 31.48 ; 2323 ; 4417 ; 0.20 ; 0.000 ; 0.000 ; 
64148 ; 2217089.171 ; 0.5834 ; 0.5999 ; 6.78 ; 41.37 ; 2669 ; 4536 ; 0.24 ; 0.000 ; 0.000 ; 
64149 ; 2217131.744 ; 0.5834 ; 0.5999 ; 6.34 ; 24.02 ; 2446 ; 4417 ; 0.26 ; 0.000 ; 0.000 ; 
64150 ; 2217171.170 ; 0.5834 ; 0.5999 ; 6.02 ; 32.22 ; 2304 ; 4753 ; 0.21 ; 0.000 ; 0.000 ; 
64151 ; 2217216.678 ; 0.5834 ; 0.5999 ; 6.00 ; 8.71 ; 2364 ; 4332 ; 0.21 ; 0.000 ; 0.000 ; 
64152 ; 2217264.703 ; 0.5780 ; 0.6154 ; 7.06 ; 5.50 ; 2754 ; 2915 ; 0.24 ; 0.000 ; 0.000 ; 
64153 ; 2217307.695 ; 0.5945 ; 0.6411 ; 6.98 ; 3.78 ; 2710 ; 2755 ; 0.23 ; 0.000 ; 0.000 ; 
64154 ; 2217347.331 ; 0.6375 ; 0.6193 ; 6.85 ; 6.23 ; 2625 ; 2459 ; 0.21 ; 0.000 ; 0.000 ; 
