Frame Number ; Time Stamp ; Point Of Regard X ; Point Of Regard Y ; Pupil Area Right Eye, sq.mm ; Pupil Area Left Eye, sq.mm ; Pupil Area Right Eye, px ; Pupil Area Left Eye, px ; Score Value ; Score Value Left Eye ; Score Value Right Eye ; Clients Event
64155 ; 2217389.484 ; 0.6468 ; 0.5942 ; 6.65 ; 6.23 ; 2511 ; 2512 ; 0.31 ; 0.000 ; 0.000 ; 
64156 ; 2217426.603 ; 0.6208 ; 0.5730 ; 6.14 ; 8.93 ; 2302 ; 3721 ; 0.25 ; 0.000 ; 0.000 ; 
64157 ; 2217458.690 ; 0.5756 ; 0.5842 ; 4.85 ; 4.19 ; 1830 ; 2907 ; 0.25 ; 0.000 ; 0.000 ; 
64158 ; 2217494.970 ; 0.4548 ; 0.7958 ; 7.59 ; 4.15 ; 2828 ; 2940 ; 0.16 ; 0.000 ; 0.000 ; 
64159 ; 2217536.494 ; 0.4265 ; 0.7659 ; 8.51 ; 4.49 ; 2851 ; 3170 ; 0.24 ; 0.000 ; 0.000 ; 
64160 ; 2217575.920 ; 0.4348 ; 0.7530 ; 8.07 ; 4.12 ; 2676 ; 3055 ; 0.25 ; 0.000 ; 0.000 ; 
64161 ; 2217620.799 ; 0.4623 ; 0.7719 ; 8.11 ; 4.50 ; 2787 ; 3148 ; 0.24 ; 0.000 ; 0.000 ; 
64162 ; 2217663.372 ; 0.4706 ; 0.7866 ; 7.76 ; 4.47 ; 2657 ; 3182 ; 0.25 ; 0.000 ; 0.000 ; 
64163 ; 2217707.202 ; 0.4804 ; 0.7914 ; 7.59 ; 7.18 ; 2563 ; 3509 ; 0.02 ; 0.000 ; 0.000 ; 
64164 ; 2217740.127 ; 0.4909 ; 0.7795 ; 7.73 ; 7.29 ; 2605 ; 3720 ; 0.13 ; 0.000 ; 0.000 ; 
64165 ; 2217749.355 ; 0.5073 ; 0.7656 ; 7.91 ; 7.51 ; 2672 ; 3882 ; 0.17 ; 0.000 ; 0.000 ; 
64166 ; 2217757.114 ; 0.4964 ; 0.7705 ; 7.43 ; 20.51 ; 2389 ; 3609 ; 0.20 ; 0.000 ; 0.000 ; 
64167 ; 2217807.865 ; 0.4773 ; 0.7955 ; 7.57 ; 10.04 ; 2369 ; 3355 ; 0.24 ; 0.000 ; 0.000 ; 
64168 ; 2217845.404 ; 0.4670 ; 0.8162 ; 6.90 ; 9.62 ; 2129 ; 3337 ; 0.23 ; 0.000 ; 0.000 ; 
64169 ; 2217882.314 ; 0.4888 ; 0.9232 ; 7.57 ; 24.50 ; 2321 ; 7035 ; 0.19 ; 0.000 ; 0.000 ; 
64170 ; 2217924.257 ; 0.4994 ; 0.9998 ; 10.54 ; 11.49 ; 2599 ; 6888 ; 0.15 ; 0.000 ; 0.000 ; 
64171 ; 2217967.039 ; 0.2735 ; 1.0097 ; 11.98 ; 10.77 ; 3036 ; 5967 ; 0.15 ; 0.000 ; 0.000 ; 
64172 ; 2218013.177 ; 0.1947 ; 1.0610 ; 12.01 ; 7.16 ; 2701 ; 4376 ; 0.15 ; 0.000 ; 0.000 ; 
64173 ; 2218052.603 ; 0.3649 ; 0.9937 ; 8.44 ; 9.12 ; 2687 ; 5794 ; 0.15 ; 0.000 ; 0.000 ; 
64174 ; 2218095.595 ; 0.3452 ; 0.9469 ; 8.49 ; 10.31 ; 2719 ; 7214 ; 0.15 ; 0.000 ; 0.000 ; 
64175 ; 2218140.683 ; 0.3440 ; 0.9102 ; 8.62 ; 3.69 ; 2694 ; 2789 ; 0.04 ; 0.000 ; 0.000 ; 
64176 ; 2218153.057 ; 0.3366 ; 0.9067 ; 8.15 ; 4.39 ; 2568 ; 3033 ; 0.15 ; 0.000 ; 0.000 ; 
64177 ; 2218189.757 ; 0.3115 ; 0.9251 ; 5.23 ; 9.38 ; 2792 ; 3460 ; 0.15 ; 0.000 ; 0.000 ; 
64178 ; 2218205.695 ; 0.3031 ; 0.9858 ; 5.41 ; 4.92 ; 2810 ; 3100 ; 0.12 ; 0.000 ; 0.000 ; 
64179 ; 2218251.413 ; 0.5702 ; 0.7577 ; 8.76 ; 9.58 ; 2972 ; 3367 ; 0.27 ; 0.000 ; 0.000 ; 
64180 ; 2218267.561 ; 0.5657 ; 0.7650 ; 8.65 ; 10.03 ; 2859 ; 3565 ; 0.32 ; 0.000 ; 0.000 ; 
64181 ; 2218304.052 ; 0.5350 ; 0.7491 ; 8.21 ; 10.82 ; 2716 ; 4324 ; 0.33 ; 0.000 ; 0.000 ; 
64182 ; 2218337.187 ; 0.5882 ; 0.7293 ; 5.95 ; 7.01 ; 3213 ; 2839 ; 0.21 ; 0.000 ; 0.000 ; 
64183 ; 2218374.726 ; 0.6739 ; 0.7602 ; 5.64 ; 37.63 ; 3213 ; 2971 ; 0.15 ; 0.000 ; 0.000 ; 
64184 ; 2218416.878 ; 0.6224 ; 0.7265 ; 9.23 ; 6.40 ; 3493 ; 2605 ; 0.32 ; 0.327 ; 0.305 ; 
64185 ; 2218456.724 ; 0.5554 ; 0.6842 ; 7.92 ; 6.72 ; 2989 ; 2894 ; 0.40 ; 0.356 ; 0.443 ; 
64186 ; 2218498.877 ; 0.5401 ; 0.6722 ; 8.07 ; 7.57 ; 3085 ; 3417 ; 0.39 ; 0.339 ; 0.440 ; 
64187 ; 2218539.352 ; 0.5383 ; 0.6862 ; 8.06 ; 8.26 ; 3076 ; 3888 ; 0.31 ; 0.000 ; 0.000 ; 
64188 ; 2218580.666 ; 0.4347 ; 0.7226 ; 10.69 ; 4.46 ; 3728 ; 3994 ; 0.23 ; 0.000 ; 0.000 ; 
64189 ; 2218620.512 ; 0.3862 ; 0.7436 ; 11.15 ; 37.24 ; 3958 ; 3854 ; 0.22 ; 0.000 ; 0.000 ; 
64190 ; 2218664.762 ; 0.4005 ; 0.7201 ; 10.09 ; 4.06 ; 3572 ; 3683 ; 0.16 ; 0.000 ; 0.000 ; 
64191 ; 2218711.948 ; 0.5570 ; 0.7112 ; 8.50 ; 9.60 ; 3256 ; 4404 ; 0.38 ; 0.000 ; 0.000 ; 
64192 ; 2218753.681 ; 0.5849 ; 0.7348 ; 8.77 ; 9.38 ; 3286 ; 4366 ; 0.38 ; 0.310 ; 0.446 ; 
64193 ; 2218799.189 ; 0.5457 ; 0.7347 ; 8.39 ; 10.15 ; 2959 ; 5004 ; 0.33 ; 0.331 ; 0.322 ; 
64194 ; 2218837.148 ; 0.5439 ; 0.7212 ; 8.09 ; 7.49 ; 2833 ; 3517 ; 0.32 ; 0.313 ; 0.330 ; 
64195 ; 2218878.042 ; 0.5492 ; 0.6908 ; 7.15 ; 6.52 ; 2502 ; 2876 ; 0.35 ; 0.343 ; 0.351 ; 
64196 ; 2218918.517 ; 0.5465 ; 0.6924 ; 7.58 ; 5.84 ; 2634 ; 2600 ; 0.34 ; 0.333 ; 0.351 ; 
64197 ; 2218961.089 ; 0.4451 ; 0.7585 ; 7.20 ; 3.63 ; 2502 ; 2748 ; 0.25 ; 0.000 ; 0.000 ; 
64198 ; 2219002.613 ; 0.4022 ; 0.7862 ; 7.36 ; 3.59 ; 2512 ; 2831 ; 0.24 ; 0.000 ; 0.000 ; 
64199 ; 2219046.024 ; 0.3533 ; 0.8174 ; 7.15 ; 16.10 ; 2445 ; 2502 ; 0.25 ; 0.000 ; 0.000 ; 
64200 ; 2219088.386 ; 0.3533 ; 0.8174 ; 6.84 ; 6.11 ; 2296 ; 2609 ; 0.32 ; 0.334 ; 0.312 ; 
64201 ; 2219129.910 ; 0.4125 ; 0.7514 ; 7.35 ; 5.75 ; 2536 ; 2499 ; 0.43 ; 0.362 ; 0.500 ; 
64202 ; 2219176.677 ; 0.3462 ; 0.7399 ; 8.05 ; 3.31 ; 2756 ; 2326 ; 0.21 ; 0.000 ; 0.000 ; 
64203 ; 2219217.152 ; 0.4026 ; 0.6606 ; 8.51 ; 5.11 ; 2766 ; 2197 ; 0.31 ; 0.000 ; 0.000 ; 
64204 ; 2219260.353 ; 0.4519 ; 0.6094 ; 7.74 ; 5.48 ; 2562 ; 2344 ; 0.31 ; 0.000 ; 0.000 ; 
64205 ; 2219300.828 ; 0.4539 ; 0.5875 ; 8.58 ; 7.04 ; 2787 ; 3120 ; 0.18 ; 0.000 ; 0.000 ; 
64206 ; 2219341.722 ; 0.4545 ; 0.5761 ; 16.91 ; 6.60 ; 2809 ; 2805 ; 0.24 ; 0.000 ; 0.000 ; 
64207 ; 2219376.116 ; 0.4596 ; 0.5963 ; 7.89 ; 5.48 ; 2661 ; 2339 ; 0.22 ; 0.000 ; 0.000 ; 
64208 ; 2219416.381 ; 0.4625 ; 0.6101 ; 7.78 ; 2.78 ; 2669 ; 1967 ; 0.12 ; 0.000 ; 0.000 ; 
64209 ; 2219454.339 ; 0.4625 ; 0.6101 ; 7.50 ; 7.82 ; 2481 ; 2218 ; 0.24 ; 0.000 ; 0.000 ; 
64210 ; 2219491.249 ; 0.4528 ; 0.5892 ; 7.45 ; 7.58 ; 2452 ; 2165 ; 0.23 ; 0.000 ; 0.000 ; 
64211 ; 2219534.451 ; 0.4742 ; 0.5668 ; 7.59 ; 8.06 ; 2486 ; 2303 ; 0.26 ; 0.000 ; 0.000 ; 
64212 ; 2219568.844 ; 0.4423 ; 0.5689 ; 7.23 ; 3.16 ; 2448 ; 2365 ; 0.14 ; 0.000 ; 0.000 ; 
64213 ; 2219610.368 ; 0.3879 ; 0.5919 ; 6.71 ; 3.17 ; 2237 ; 2375 ; 0.18 ; 0.000 ; 0.000 ; 
64214 ; 2219623.160 ; 0.3424 ; 0.6548 ; 6.90 ; 3.06 ; 2189 ; 2401 ; 0.14 ; 0.000 ; 0.000 ; 
64215 ; 2219667.830 ; 0.3791 ; 0.6580 ; 7.12 ; 3.40 ; 2335 ; 2515 ; 0.05 ; 0.000 ; 0.000 ; 
64216 ; 2219707.466 ; 0.4252 ; 0.7454 ; 4.07 ; 3.37 ; 2325 ; 2525 ; 0.15 ; 0.000 ; 0.000 ; 
64217 ; 2219741.649 ; 0.4206 ; 0.8340 ; 4.35 ; 5.76 ; 2511 ; 4132 ; 0.14 ; 0.000 ; 0.000 ; 
64218 ; 2219774.365 ; 0.4090 ; 0.8653 ; 4.44 ; 9.54 ; 2586 ; 4296 ; 0.24 ; 0.000 ; 0.000 ; 
64219 ; 2219812.952 ; 0.4333 ; 0.8065 ; 4.67 ; 9.38 ; 2630 ; 4188 ; 0.24 ; 0.000 ; 0.000 ; 
64220 ; 2219844.410 ; 0.4591 ; 0.7791 ; 4.75 ; 9.37 ; 2605 ; 4186 ; 0.18 ; 0.000 ; 0.000 ; 
64221 ; 2219880.061 ; 0.4747 ; 0.7531 ; 4.68 ; 9.26 ; 2646 ; 4185 ; 0.17 ; 0.000 ; 0.000 ; 
64222 ; 2219887.401 ; 0.5511 ; 0.8071 ; 16.60 ; 5.63 ; 2491 ; 3911 ; 0.09 ; 0.000 ; 0.000 ; 
64223 ; 2219935.007 ; 0.5647 ; 0.8653 ; 28.34 ; 3.97 ; 2403 ; 2883 ; 0.20 ; 0.000 ; 0.000 ; 
64224 ; 2219946.960 ; 0.5629 ; 0.8787 ; 33.37 ; 3.42 ; 2609 ; 2644 ; 0.20 ; 0.000 ; 0.000 ; 
64225 ; 2219989.323 ; 0.5776 ; 0.8697 ; 35.27 ; 3.18 ; 2715 ; 2408 ; 0.19 ; 0.000 ; 0.000 ; 
64226 ; 2219999.180 ; 0.6045 ; 0.8503 ; 42.45 ; 3.35 ; 2829 ; 2476 ; 0.21 ; 0.000 ; 0.000 ; 
64227 ; 2220048.043 ; 0.6266 ; 0.8439 ; 44.63 ; 3.36 ; 2806 ; 2554 ; 0.12 ; 0.000 ; 0.000 ; 
64228 ; 2220057.900 ; 0.6122 ; 0.8337 ; 30.71 ; 3.55 ; 2546 ; 2782 ; 0.14 ; 0.000 ; 0.000 ; 
64229 ; 2220107.812 ; 0.6581 ; 0.8237 ; 33.89 ; 3.62 ; 2667 ; 2895 ; 0.15 ; 0.000 ; 0.000 ; 
64230 ; 2220146.609 ; 0.6581 ; 0.8237 ; 5.79 ; 3.65 ; 2471 ; 3035 ; 0.16 ; 0.000 ; 0.000 ; 
64231 ; 2220188.762 ; 0.6304 ; 0.7530 ; 5.91 ; 3.70 ; 2547 ; 3049 ; 0.19 ; 0.000 ; 0.000 ; 
64232 ; 2220203.232 ; 0.6179 ; 0.6579 ; 5.57 ; 3.63 ; 2222 ; 2997 ; 0.23 ; 0.000 ; 0.000 ; 
64233 ; 2220248.321 ; 0.5784 ; 0.4537 ; 6.17 ; 3.78 ; 2366 ; 3010 ; 0.32 ; 0.000 ; 0.000 ; 
64234 ; 2220286.070 ; 0.5887 ; 0.3737 ; 6.01 ; 6.96 ; 2274 ; 2820 ; 0.56 ; 0.374 ; 0.739 ; 
64235 ; 2220329.900 ; 0.6115 ; 0.3355 ; 5.53 ; 8.63 ; 2075 ; 3667 ; 0.53 ; 0.350 ; 0.707 ; 
64236 ; 2220371.843 ; 0.6330 ; 0.3156 ; 5.72 ; 8.89 ; 2173 ; 3728 ; 0.61 ; 0.553 ; 0.666 ; 
64237 ; 2220413.996 ; 0.6327 ; 0.3077 ; 4.89 ; 8.74 ; 1894 ; 3732 ; 0.62 ; 0.542 ; 0.701 ; 
64238 ; 2220457.827 ; 0.6269 ; 0.3099 ; 5.34 ; 8.04 ; 2149 ; 3437 ; 0.59 ; 0.488 ; 0.700 ; 
64239 ; 2220504.383 ; 0.6508 ; 0.3263 ; 4.79 ; 8.27 ; 2033 ; 3516 ; 0.46 ; 0.465 ; 0.456 ; 
64240 ; 2220547.795 ; 0.6249 ; 0.3367 ; 50.64 ; 5.97 ; 4989 ; 2533 ; 0.23 ; 0.000 ; 0.000 ; 
64241 ; 2220592.254 ; 0.6116 ; 0.3430 ; 7.23 ; 10.72 ; 2254 ; 2036 ; 0.08 ; 0.000 ; 0.000 ; 
64242 ; 2220633.568 ; 0.6116 ; 0.3430 ; 18.39 ; 47.12 ; 2532 ; 12645 ; 0.20 ; 0.000 ; 0.000 ; 
64243 ; 2220671.527 ; 0.6116 ; 0.3430 ; 44.68 ; 25.31 ; 5003 ; 2582 ; 0.19 ; 0.000 ; 0.000 ; 
64244 ; 2220713.470 ; 0.6116 ; 0.3430 ; 19.23 ; 35.09 ; 1960 ; 3316 ; 0.37 ; 0.330 ; 0.402 ; 
64245 ; 2220755.832 ; 0.6116 ; 0.3430 ; 10.92 ; 0.00 ; 2199 ; 0 ; 0.21 ; 0.000 ; 0.000 ; 
64246 ; 2220797.985 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.11 ; 0.000 ; 0.000 ; 
64247 ; 2220840.767 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.25 ; 0.000 ; 0.000 ; 
64248 ; 2220880.822 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.27 ; 0.000 ; 0.000 ; 
64249 ; 2220921.297 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.33 ; 0.356 ; 0.302 ; 
64250 ; 2220961.772 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
64251 ; 2220998.682 ; 0.6116 ; 0.3430 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
64252 ; 2221006.861 ; 0.5831 ; 0.3507 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
64253 ; 2221042.513 ; 0.5291 ; 0.3606 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
64254 ; 2221078.793 ; 0.4951 ; 0.3263 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.27 ; 0.000 ; 0.000 ; 
64255 ; 2221107.105 ; 0.4585 ; 0.2888 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.30 ; 0.000 ; 0.000 ; 
64256 ; 2221117.800 ; 0.4234 ; 0.2712 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.31 ; 0.000 ; 0.000 ; 
64257 ; 2221124.302 ; 0.3881 ; 0.2620 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.31 ; 0.000 ; 0.000 ; 
64258 ; 2221140.240 ; 0.3871 ; 0.2584 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.42 ; 0.466 ; 0.375 ; 
64259 ; 2221185.538 ; 0.3871 ; 0.2584 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.35 ; 0.000 ; 0.000 ; 
64260 ; 2221230.837 ; 0.3121 ; 0.2397 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.25 ; 0.000 ; 0.000 ; 
64261 ; 2221263.972 ; 0.0267 ; 0.3182 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.39 ; 0.000 ; 0.000 ; 
64262 ; 2221305.286 ; 0.0238 ; 0.4285 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.39 ; 0.468 ; 0.305 ; 
64263 ; 2221345.132 ; 0.0238 ; 0.4285 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.32 ; 0.000 ; 0.000 ; 
64264 ; 2221386.026 ; 0.0238 ; 0.4285 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.36 ; 0.000 ; 0.000 ; 
64265 ; 2221424.404 ; 0.3179 ; 0.5470 ; 24.49 ; 0.00 ; 6371 ; 0 ; 0.47 ; 0.456 ; 0.488 ; 
64266 ; 2221464.040 ; 0.4074 ; 0.6543 ; 16.15 ; 0.00 ; 6014 ; 0 ; 0.50 ; 0.485 ; 0.511 ; 
64267 ; 2221501.999 ; 0.3852 ; 0.6802 ; 6.82 ; 0.00 ; 5630 ; 0 ; 0.34 ; 0.000 ; 0.000 ; 
64268 ; 2221535.134 ; 0.3509 ; 0.6626 ; 15.34 ; 0.00 ; 6064 ; 0 ; 0.46 ; 0.543 ; 0.386 ; 
64269 ; 2221568.898 ; 0.3252 ; 0.5988 ; 17.40 ; 0.00 ; 4866 ; 0 ; 0.34 ; 0.000 ; 0.000 ; 
64270 ; 2221602.033 ; 0.2968 ; 0.5689 ; 17.33 ; 0.00 ; 4384 ; 0 ; 0.36 ; 0.389 ; 0.334 ; 
64271 ; 2221610.421 ; 0.2655 ; 0.5592 ; 15.23 ; 0.00 ; 4003 ; 0 ; 0.41 ; 0.429 ; 0.399 ; 
64272 ; 2221628.457 ; 0.2356 ; 0.5351 ; 17.70 ; 0.00 ; 4325 ; 0 ; 0.33 ; 0.000 ; 0.000 ; 
64273 ; 2221660.334 ; 0.2047 ; 0.5223 ; 16.29 ; 0.00 ; 4617 ; 0 ; 0.39 ; 0.451 ; 0.321 ; 
64274 ; 2221693.678 ; 0.1785 ; 0.4814 ; 22.43 ; 0.00 ; 5262 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
64275 ; 2221729.330 ; 0.1543 ; 0.4449 ; 23.82 ; 0.00 ; 5330 ; 0 ; 0.27 ; 0.000 ; 0.000 ; 
64276 ; 2221761.416 ; 0.1264 ; 0.4583 ; 18.07 ; 0.00 ; 5382 ; 0 ; 0.38 ; 0.383 ; 0.367 ; 
64277 ; 2221795.390 ; 0.1034 ; 0.4460 ; 20.22 ; 0.00 ; 5436 ; 0 ; 0.36 ; 0.000 ; 0.000 ; 
64278 ; 2221828.945 ; 0.0840 ; 0.4271 ; 20.09 ; 0.00 ; 5488 ; 0 ; 0.30 ; 0.000 ; 0.000 ; 
64279 ; 2221862.919 ; 0.0580 ; 0.4852 ; 4.65 ; 0.00 ; 2514 ; 0 ; 0.72 ; 0.447 ; 1.000 ; 
64280 ; 2221896.473 ; 0.0423 ; 0.4787 ; 1.20 ; 0.00 ; 344 ; 0 ; 0.37 ; 0.437 ; 0.303 ; 
64281 ; 2221930.657 ; 0.0278 ; 0.4790 ; 4.52 ; 0.00 ; 2023 ; 0 ; 0.42 ; 0.456 ; 0.381 ; 
64282 ; 2221964.001 ; 0.0157 ; 0.4747 ; 0.90 ; 0.00 ; 428 ; 0 ; 0.39 ; 0.444 ; 0.334 ; 
64283 ; 2221998.185 ; 0.0034 ; 0.4795 ; 3.71 ; 0.00 ; 1703 ; 0 ; 0.42 ; 0.451 ; 0.399 ; 
64284 ; 2222032.998 ; -0.0065 ; 0.4829 ; 3.71 ; 0.00 ; 1728 ; 0 ; 0.03 ; 0.000 ; 0.000 ; 
64285 ; 2222068.020 ; -0.0089 ; 0.4372 ; 1.09 ; 0.00 ; 632 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
64286 ; 2222102.413 ; -0.0086 ; 0.4317 ; 2.43 ; 0.00 ; 1201 ; 0 ; 0.72 ; 0.438 ; 1.000 ; 
64287 ; 2222136.177 ; 0.0627 ; 0.3731 ; 4.00 ; 0.00 ; 1719 ; 0 ; -0.11 ; 0.000 ; 0.000 ; 
64288 ; 2222170.990 ; 0.0483 ; 0.3396 ; 6.58 ; 0.00 ; 2169 ; 0 ; 0.20 ; 0.000 ; 0.000 ; 
64289 ; 2222204.125 ; 0.0659 ; 0.2956 ; 6.88 ; 0.00 ; 2534 ; 0 ; 0.08 ; 0.000 ; 0.000 ; 
64290 ; 2222238.099 ; 0.0747 ; 0.2717 ; 6.90 ; 0.00 ; 2670 ; 0 ; 0.34 ; 0.000 ; 0.000 ; 
64291 ; 2222272.492 ; 0.0894 ; 0.2518 ; 4.42 ; 0.00 ; 1726 ; 0 ; 0.33 ; 0.000 ; 0.000 ; 
64292 ; 2222306.466 ; 0.1048 ; 0.2507 ; 5.95 ; 0.00 ; 2021 ; 0 ; 0.13 ; 0.000 ; 0.000 ; 
64293 ; 2222342.328 ; 0.0899 ; 0.2393 ; 12.40 ; 0.00 ; 2386 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
64294 ; 2222377.140 ; 0.0858 ; 0.2859 ; 12.93 ; 0.00 ; 3794 ; 0 ; 0.02 ; 0.000 ; 0.000 ; 
64295 ; 2222411.743 ; 0.0698 ; 0.2667 ; 12.90 ; 0.00 ; 5188 ; 0 ; 0.21 ; 0.000 ; 0.000 ; 
64296 ; 2222446.137 ; 0.0540 ; 0.2420 ; 16.63 ; 0.00 ; 6473 ; 0 ; 0.21 ; 0.000 ; 0.000 ; 
64297 ; 2222480.320 ; 0.0496 ; 0.2204 ; 23.43 ; 0.00 ; 7612 ; 0 ; 0.31 ; 0.000 ; 0.000 ; 
64298 ; 2222514.923 ; 0.0426 ; 0.2067 ; 42.29 ; 0.00 ; 8594 ; 0 ; 0.19 ; 0.000 ; 0.000 ; 
