"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",0,3.74410049175741e-06,1.31019572616199e-06,2.16182957478343e-06,0.798461816953258,0.102591896161994,2.09418420468149e-07,7.15911172950374e-06,0.000269044745142078,0.0273071284254842,0.0304963528108777
"v_mean_norm",3.74410049175741e-06,0,1.35282104159917e-59,1.15431409721416e-43,0.00863800472849015,0.000254591046780335,1.96284636179923e-29,2.62973040371644e-10,2.62819298909012e-06,0.00427574053771396,8.65956923530995e-06
"a_mean_norm",1.31019572616199e-06,1.35282104159917e-59,0,3.42955551959456e-53,0.0313585485103916,4.21836594153747e-05,3.73851727716782e-31,7.62381667620738e-13,6.48872591662991e-08,0.001699873545691,1.0174751700076e-06
"j_mean_norm",2.16182957478343e-06,1.15431409721416e-43,3.42955551959456e-53,0,0.061186010763688,2.80070133421918e-05,9.97280268456846e-31,2.23522919621367e-15,2.22137957964249e-10,0.00104846867886861,7.42871668755695e-07
"c_mean_norm",0.798461816953258,0.00863800472849015,0.0313585485103916,0.061186010763688,0,0.333523528139177,0.0478482137916177,0.403445601030415,0.931931379616409,1.37233612990557e-07,0.935875315721517
"tip_distance_mean_norm",0.102591896161994,0.000254591046780335,4.21836594153747e-05,2.80070133421918e-05,0.333523528139177,0,2.50002056933971e-06,2.99315460466716e-07,6.50042971779574e-06,0.125598670563379,5.55852430348547e-12
"v_sd_norm",2.09418420468149e-07,1.96284636179923e-29,3.73851727716782e-31,9.97280268456846e-31,0.0478482137916177,2.50002056933971e-06,0,3.86602281418505e-19,1.27538620966782e-11,0.00217597776349118,2.73999811497544e-07
"a_sd_norm",7.15911172950374e-06,2.62973040371644e-10,7.62381667620738e-13,2.23522919621367e-15,0.403445601030415,2.99315460466716e-07,3.86602281418505e-19,0,3.40625349704801e-42,0.00421782171499301,2.66492414622075e-08
"j_sd_norm",0.000269044745142078,2.62819298909012e-06,6.48872591662991e-08,2.22137957964249e-10,0.931931379616409,6.50042971779574e-06,1.27538620966782e-11,3.40625349704801e-42,0,0.00265036243373348,1.47224497385712e-05
"c_sd_norm",0.0273071284254842,0.00427574053771396,0.001699873545691,0.00104846867886861,1.37233612990557e-07,0.125598670563379,0.00217597776349118,0.00421782171499301,0.00265036243373348,0,0.0474524169096089
"tip_distance_sd_norm",0.0304963528108777,8.65956923530995e-06,1.0174751700076e-06,7.42871668755695e-07,0.935875315721517,5.55852430348547e-12,2.73999811497544e-07,2.66492414622075e-08,1.47224497385712e-05,0.0474524169096089,0
