type,time (mm:ss.ms),time (ms),time (s),frame,note
start,00:00.000,0,0,1,
stop,02:00.379,120379,120.379,3612.37,
start,02:22.813,142813,142.813,4285.39,
stop,02:26.564,146564,146.564,4397.92,
start,03:05.747,185747,185.747,5573.41,
stop,03:09.788,189788,189.788,5694.64,
start,03:38.586,218586,218.586,6558.58,
stop,03:44.913,224913,224.913,6748.39,
start,03:52.250,232250,232.25,6968.5,
stop,03:57.726,237726,237.726,7132.78,
start,04:21.483,261483,261.483,7845.49,
stop,04:43.124,283124,283.124,8494.72,
start,04:58.194,298194,298.194,8946.82,
stop,05:05.003,305003,305.003,9151.09,
start,05:50.003,350003,350.003,10501.09,
stop,06:09.076,369076,369.076,11073.28,
start,08:04.672,484672,484.672,14541.16,
stop,08:11.283,491283,491.283,14739.49,
start,09:37.109,577109,577.109,17314.27,
stop,10:12.646,612646,612.646,18380.38,
start,11:08.692,668692,668.692,20061.76,
stop,11:19.006,679006,679.006,20371.18,
start,13:36.254,816254,816.254,24488.62,
stop,13:46.049,826049,826.049,24782.47,
start,14:30.165,870165,870.165,26105.95,
stop,14:46.763,886763,886.763,26603.89,
start,14:50.887,890887,890.887,26727.61,
stop,15:03.790,903790,903.79,27114.7,
start,15:05.843,905843,905.843,27176.29,
stop,15:10.355,910355,910.355,27311.65,
start,15:37.912,937912,937.912,28138.36,
stop,15:50.967,950967,950.967,28530.01,
start,16:49.716,1009716,1009.716,30292.48,
stop,16:58.470,1018470,1018.47,30555.1,
start,17:54.187,1074187,1074.187,32226.61,
stop,18:14.244,1094244,1094.244,32828.32,
start,18:54.217,1134217,1134.217,34027.51,
stop,19:14.508,1154508,1154.508,34636.24,
start,20:02.830,1202830,1202.83,36085.9,
stop,20:29.173,1229173,1229.173,36876.19,
start,21:39.793,1299793,1299.793,38994.79,
stop,22:01.534,1321534,1321.534,39647.02,
