"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",1,-0.0177974236574636,0.0118014923322726,-0.0449172963766856,0.232669464233419,0.197492991052679,0.0638296283232687,0.0848131572519653,0.0597033458939868,0.213037841523764,0.380190301691154
"v_mean_norm",-0.0177974236574636,1,0.934082735489706,0.946034482729896,-0.12544582354614,0.187823549170584,0.87677636610498,0.772353852774703,0.708872801161677,0.33601864680832,0.35645004592569
"a_mean_norm",0.0118014923322726,0.934082735489706,1,0.888956993298583,-0.041094744145825,0.216506919016113,0.868742918887732,0.831474974154159,0.672805910171635,0.316716020839006,0.316620084434959
"j_mean_norm",-0.0449172963766856,0.946034482729896,0.888956993298583,1,-0.178600049318001,0.146615050635987,0.928295534637094,0.852208986577008,0.847895690311394,0.360645148044742,0.36622142156298
"c_mean_norm",0.232669464233419,-0.12544582354614,-0.041094744145825,-0.178600049318001,1,0.178129484333999,-0.0650321460288154,-0.124966257671081,-0.182706795992662,0.581914624022398,-0.0354964680719215
"tip_distance_mean_norm",0.197492991052679,0.187823549170584,0.216506919016113,0.146615050635987,0.178129484333999,1,0.110002104716962,0.116817720357008,0.0584127800766129,0.158539642382047,0.113632923832113
"v_sd_norm",0.0638296283232687,0.87677636610498,0.868742918887732,0.928295534637094,-0.0650321460288154,0.110002104716962,1,0.924348495291956,0.875317686831943,0.407859668633567,0.36020480425115
"a_sd_norm",0.0848131572519653,0.772353852774703,0.831474974154159,0.852208986577008,-0.124966257671081,0.116817720357008,0.924348495291956,1,0.916171989210953,0.313412034297043,0.329097991516802
"j_sd_norm",0.0597033458939868,0.708872801161677,0.672805910171635,0.847895690311394,-0.182706795992662,0.0584127800766129,0.875317686831943,0.916171989210953,1,0.306311976181173,0.288138355521164
"c_sd_norm",0.213037841523764,0.33601864680832,0.316716020839006,0.360645148044742,0.581914624022398,0.158539642382047,0.407859668633567,0.313412034297043,0.306311976181173,1,0.276283591559472
"tip_distance_sd_norm",0.380190301691154,0.35645004592569,0.316620084434959,0.36622142156298,-0.0354964680719215,0.113632923832113,0.36020480425115,0.329097991516802,0.288138355521164,0.276283591559472,1
