"","path_length_norm","v_mean_norm","a_mean_norm","j_mean_norm","c_mean_norm","tip_distance_mean_norm","v_sd_norm","a_sd_norm","j_sd_norm","c_sd_norm","tip_distance_sd_norm"
"path_length_norm",0,0.00941158346436293,0.0436668003592405,0.0314146878376049,0.129080553966778,0.498299930297476,0.0125112714918594,0.111293891553408,0.0355014957914223,0.710515784403401,0.266221929746737
"v_mean_norm",0.00941158346436293,0,7.48825800546385e-17,1.64968058587706e-14,0.231250156441492,0.493226283925548,1.95952226875932e-16,1.34249491426572e-05,5.27987098037214e-05,0.788617274017097,0.874190285056922
"a_mean_norm",0.0436668003592405,7.48825800546385e-17,0,1.28269403988678e-22,0.959009286461006,0.856600016054567,2.05497263647489e-19,1.31261511217955e-10,8.82304730452439e-09,0.493583707593765,0.991894455864222
"j_mean_norm",0.0314146878376049,1.64968058587706e-14,1.28269403988678e-22,0,0.725173058644405,0.529841616392731,4.98590233956695e-20,3.55458240229416e-13,4.27531681109436e-13,0.315922542447089,0.605522131356051
"c_mean_norm",0.129080553966778,0.231250156441492,0.959009286461006,0.725173058644405,0,0.721429557621717,0.943972951770786,0.731639989923807,0.767373990406738,2.15480741970543e-14,0.867361640336681
"tip_distance_mean_norm",0.498299930297476,0.493226283925548,0.856600016054567,0.529841616392731,0.721429557621717,0,0.42968839777779,0.981217721157531,0.938742628824983,0.470230033934411,0.462680566868513
"v_sd_norm",0.0125112714918594,1.95952226875932e-16,2.05497263647489e-19,4.98590233956695e-20,0.943972951770786,0.42968839777779,0,6.94392536702023e-11,9.09959927844446e-10,0.353957976483786,0.72245763073436
"a_sd_norm",0.111293891553408,1.34249491426572e-05,1.31261511217955e-10,3.55458240229416e-13,0.731639989923807,0.981217721157531,6.94392536702023e-11,0,1.45606170454822e-24,0.559994044875507,0.312243949504336
"j_sd_norm",0.0355014957914223,5.27987098037214e-05,8.82304730452439e-09,4.27531681109436e-13,0.767373990406738,0.938742628824983,9.09959927844446e-10,1.45606170454822e-24,0,0.638511183848092,0.182395308527469
"c_sd_norm",0.710515784403401,0.788617274017097,0.493583707593765,0.315922542447089,2.15480741970543e-14,0.470230033934411,0.353957976483786,0.559994044875507,0.638511183848092,0,0.47025421053719
"tip_distance_sd_norm",0.266221929746737,0.874190285056922,0.991894455864222,0.605522131356051,0.867361640336681,0.462680566868513,0.72245763073436,0.312243949504336,0.182395308527469,0.47025421053719,0
