,mag_chg,class,action,action_change,gaze_tool_mean,gaze_tool_sd,gaze_tool_mean_norm,gaze_tool_sd_norm,gaze_missing
0,"(0, 11000]",microforceps,D,1.0,66.24621669084553,23.33315638559534,0.8269658532171064,0.2912728385488084,0.015748031496062992
1,"(0, 11000]",microforceps,D,3.0,22.548954066480032,7.963607962494921,0.2814834713620232,0.09941144086951631,0.009852216748768473
2,"(0, 11000]",microforceps,D,5.0,75.63721338956982,6.740043778800576,0.9441956964511993,0.08413742448520388,0.0
3,"(0, 11000]",microforceps,EVS,0.0,80.10755998343944,19.775238076584383,1.0,0.24685857465478286,0.005813953488372093
4,"(0, 11000]",microforceps,EVS,2.0,28.87535186670514,8.429912784099486,0.3604572636174977,0.10523242482784638,0.031746031746031744
5,"(0, 11000]",microforceps,EVS,4.0,59.93444378518042,18.96125207265143,0.7481746266840559,0.2366974112876646,0.02830188679245283
6,"(0, 11000]",microscissors,D,1.0,55.68876956702594,13.058868425716634,0.8258637493410738,0.1936628538225049,0.015748031496062992
7,"(0, 11000]",microscissors,D,3.0,58.79068263628887,8.821385236739129,0.871865080981707,0.13082103164852601,0.009852216748768473
8,"(0, 11000]",microscissors,D,5.0,51.76187058400746,7.1914854902865395,0.7676278870188513,0.10664963899393896,0.0
9,"(0, 11000]",microscissors,EVS,0.0,67.43094077135358,38.708209336007165,1.0,0.5740422555761141,0.005813953488372093
10,"(0, 11000]",microscissors,EVS,2.0,61.0805056199626,9.796662895157842,0.9058231269095862,0.14528438700531554,0.031746031746031744
11,"(0, 11000]",microscissors,EVS,4.0,60.42170864493866,23.0768316936827,0.896053176090454,0.34222912256158733,0.02830188679245283
12,"(26000, 34960]",microforceps,D,82.0,61.236612576286895,11.180433819006007,0.5004255799244869,0.09136650187358682,0.03775510204081633
13,"(26000, 34960]",microforceps,D,84.0,58.45309739648854,28.671188049231812,0.47767869469559027,0.2343009402877528,0.006802721088435374
14,"(26000, 34960]",microforceps,D,85.0,100.9750789536614,37.97275479277608,0.825168315447843,0.31031334097444513,0.012455516014234875
15,"(26000, 34960]",microforceps,D,86.0,71.35469878152331,14.55700244114113,0.5831105774114658,0.11895981965846243,0.0174496644295302
16,"(26000, 34960]",microforceps,D,88.0,72.39938929280207,9.682932399706818,0.5916477879617229,0.07912892071644864,0.03162055335968379
17,"(26000, 34960]",microforceps,D,89.0,50.69583468290705,23.495667959891193,0.4142863460865843,0.1920065916430983,0.012396694214876033
18,"(26000, 34960]",microforceps,D,91.0,122.36906951384732,22.960955104726573,1.0,0.18763691834829474,0.022727272727272728
19,"(26000, 34960]",microforceps,D,95.0,81.77033061694137,25.076872911746538,0.6682271177005903,0.20492819804361453,0.018691588785046728
20,"(26000, 34960]",microforceps,D,97.0,42.64386209090288,14.425493891437819,0.3484856284379713,0.1178851318290479,0.029940119760479042
21,"(26000, 34960]",microforceps,EVS,83.0,79.90182004765053,34.04275927315078,0.6529576498790719,0.27819741874639725,0.01809954751131222
