,mag_chg,class,action,action_change,gaze_tool_mean,gaze_tool_sd,gaze_tool_mean_norm,gaze_tool_sd_norm,gaze_missing
22,"(26000, 34960]",microforceps,EVS,87.0,61.267243810537316,9.44420881499014,0.5006758983617531,0.07717807165250555,0.04240282685512368
23,"(26000, 34960]",microforceps,EVS,90.0,81.82643211134122,44.862529851778106,0.6686855790962904,0.3666165807259117,0.038461538461538464
24,"(26000, 34960]",microforceps,EVS,92.0,78.06597150691785,26.32310816874321,0.6379550961453039,0.21511243219647494,0.019553072625698324
25,"(26000, 34960]",microforceps,ST,94.0,80.70558959659856,22.036259322346375,0.6595260543961715,0.18008030468722935,0.03482587064676617
26,"(26000, 34960]",microforceps,ST,96.0,115.37953705476835,40.345851788097626,0.9428815428045072,0.3297062889207642,0.010964912280701754
27,"(26000, 34960]",microscissors,D,82.0,29.415936332048922,13.016840138264266,0.43591688439809345,0.1928974938526111,0.03775510204081633
28,"(26000, 34960]",microscissors,D,84.0,37.09516419507853,25.928870373977755,0.5497159165569903,0.3842418021918233,0.006802721088435374
29,"(26000, 34960]",microscissors,D,85.0,33.54005192603617,20.2165645358098,0.49703245115534894,0.29959072953532456,0.012455516014234875
30,"(26000, 34960]",microscissors,D,86.0,28.250937362183755,19.63585305236034,0.4186526805482465,0.290985124133477,0.0174496644295302
31,"(26000, 34960]",microscissors,D,88.0,32.96020934314961,29.759310326436704,0.48843972205367947,0.4410053684132621,0.03162055335968379
32,"(26000, 34960]",microscissors,D,89.0,38.77069449449507,19.98367804634542,0.5745457210409118,0.29613956783304973,0.012396694214876033
33,"(26000, 34960]",microscissors,D,91.0,35.181592166348885,21.033853859377423,0.5213585544992562,0.31170219903130875,0.022727272727272728
34,"(26000, 34960]",microscissors,D,95.0,41.497081059478624,30.947458397541297,0.6149482403983391,0.4586126204657907,0.018691588785046728
35,"(26000, 34960]",microscissors,D,97.0,43.44683714360317,28.707159261922467,0.6438418165855363,0.42541346582067047,0.029940119760479042
36,"(26000, 34960]",microscissors,EVS,83.0,53.52295298158232,30.809615341079304,0.7931605047056439,0.4565699142595172,0.01809954751131222
37,"(26000, 34960]",microscissors,EVS,87.0,65.59829922031861,22.399780024863983,0.9721059324832786,0.331943957500442,0.04240282685512368
38,"(26000, 34960]",microscissors,EVS,90.0,67.4806078518063,29.332390114914975,1.0,0.4346788069741701,0.038461538461538464
39,"(26000, 34960]",microscissors,EVS,92.0,38.468897260431724,21.146125956210547,0.570073366038922,0.3133659673405641,0.019553072625698324
40,"(26000, 34960]",microscissors,ST,94.0,41.223842330160934,17.627989649405816,0.6108990959401601,0.2612304513930657,0.03482587064676617
41,"(26000, 34960]",microscissors,ST,96.0,55.81857834446695,31.485420453375056,0.8271795427072878,0.46658471901320114,0.010964912280701754
