mag_chg,action,action_change,class,path_length,path_length_norm,v_mean,v_sd,v_var,v_mean_norm,v_sd_norm,a_mean,a_sd,a_var,a_mean_norm,a_sd_norm,c_mean,c_sd,c_var,c_mean_norm,c_sd_norm,j_mean,j_sd,j_var,j_mean_norm,j_sd_norm,tip_distance_mean,tip_distance_sd,tip_distance_mean_norm,tip_distance_sd_norm,missing_after_interpolation,duration_f
"(0, 11000]",D,1.0,microforceps,1026.122908183328,1.0,2.700323442587706,3.736602800089495,1.3837611973285422,0.6454832663869954,0.8931946975512071,1.783754608321525,2.326567713910841,1.304309294034616,0.47429655242726404,0.6186294014594569,0.9099377753774897,1.9554604166532612,2.1490045468680914,0.7312665838038139,1.5714952135670923,1.3399988180995006,1.7118497232005823,1.2775009202086252,0.4639441152934117,0.5926890342127099,59.21525370975465,14.814605285792545,0.6402605571386799,0.16018182545604207,0.0,381.0
"(0, 11000]",D,1.0,microscissors,790.1964095302901,0.688852427680004,2.079464235606028,2.077260614454217,0.9989402937958349,0.29729420563031783,0.2969791611161491,1.5101000496469155,1.8186363566965533,1.2043151426435477,0.33159036527088775,0.3993392980504352,0.8562008928363668,1.7960924844471449,2.09774656797795,0.7753227185851007,1.6264305719872287,1.2552709534640798,1.5701500870153657,1.2508455506616616,0.3044848110543935,0.38086347115144475,59.21525370975465,14.814605285792545,0.6402605571386799,0.16018182545604207,0.0,381.0
"(0, 11000]",D,3.0,microforceps,426.7516723585562,0.41588748185545077,2.112632041378992,1.7503060361591496,0.828495451113513,0.5050019598527579,0.41839182654141877,1.5493232373001653,1.4632764427190514,0.9444616897820121,0.41196175001806096,0.3890820905476127,1.2443311311235987,2.3416557602496217,1.8818590178123786,1.0,1.8818590178123786,1.2810928959752599,1.2453074331468705,0.9720664575216874,0.44354927945002354,0.43115937681128136,51.35271393042887,6.157088070199049,0.5552474264965176,0.06657306000072352,0.0,203.0
"(0, 11000]",D,3.0,microscissors,365.5293944552779,0.31864965181073507,1.8095514576993947,1.3993790368280545,0.7733292307736747,0.2587056579057453,0.20006464742504743,1.3668562897315968,1.2779341323633946,0.9349440332270312,0.3001366541845252,0.28061097398254664,1.0950687353751725,2.4602954762077065,2.246704153566036,0.9916267035602006,2.227891833675699,1.088203196650459,1.0674835453042002,0.9809597587931785,0.26396001899551924,0.2589341565648874,51.35271393042887,6.157088070199049,0.5552474264965176,0.06657306000072352,0.0,203.0
"(0, 11000]",D,5.0,microforceps,177.08012080862818,0.172572037322639,0.9469525176931991,0.7009815459616484,0.7402499416435976,0.2263588111682818,0.1675620967578347,0.7281749141429721,0.624222263853308,0.8572421978969003,0.19362015925891132,0.16597937088025702,0.8950132349464005,1.3438915719701416,1.501532624878584,0.7192725574085949,1.0800112111288596,0.5653685492412934,0.5506335754429325,0.9739374009782914,0.19574600204833517,0.19064435248684683,55.108575697903525,8.661875502751737,0.5958574044519621,0.09365588911331693,0.0,188.0
"(0, 11000]",D,5.0,microscissors,437.53285857615094,0.3814185538999215,2.3397479068243374,1.8842642356016939,0.8053278860110804,0.33450611144164266,0.26938709958508494,1.6840658012520455,1.6166408743802936,0.9599630092710013,0.36979006411392623,0.3549847827453211,0.8118308240084452,1.6483869965346971,2.030456282006791,0.7351439209742848,1.4926775925213405,1.28044018889475,1.2007417448089475,0.9377569957761193,0.3105899868918032,0.29125793302580166,55.108575697903525,8.661875502751737,0.5958574044519621,0.09365588911331693,0.0,188.0
"(0, 11000]",EVS,0.0,microforceps,682.6566153993591,0.6652776289810646,4.06343223452,6.251658375693194,1.5385167057994957,0.9713197575201165,1.4943916736178144,3.7608424501358217,9.900597087908015,2.632547685572539,1.0,2.632547685572539,0.7623282125631019,1.7739093317705854,2.3269627209602315,0.6126409550444497,1.4255926637219076,2.888276354689932,5.985374313356613,2.072299731165845,1.0,2.072299731165845,92.4861808985817,54.927775481764876,1.0,0.593902515468743,0.0,172.0
"(0, 11000]",EVS,0.0,microscissors,1147.1200184219485,1.0,6.994634258670415,9.956520212933194,1.4234511548035955,1.0,1.4234511548035955,4.554113170366883,10.080288511989952,2.213447082865944,1.0,2.213447082865944,0.9444780779401273,3.3137374357198484,3.508538221392063,0.8552610925302074,3.0007162324117664,4.122606146156292,9.79241031714131,2.3752961039635707,1.0,2.3752961039635707,92.4861808985817,54.927775481764876,1.0,0.593902515468743,0.0,172.0
"(0, 11000]",EVS,2.0,microforceps,814.7914126972266,0.7940485551967185,3.2461809270805824,2.859869138651781,0.8809949916204373,0.7759646252180704,0.6836209484917497,2.380754799438565,2.439863219813222,1.024827596856508,0.6330376321274997,0.6487544352529597,1.0563350610327127,2.4478223109100936,2.317278296639147,0.8489179725648024,1.9671791934513232,1.9532111681781261,2.360266461803415,1.2084031159851358,0.6762549452743801,0.8171885830699185,56.20452221546953,14.430187569739056,0.6077072452272861,0.1560253372940427,0.0,252.0
"(0, 11000]",EVS,2.0,microscissors,461.5986629262559,0.4023978794836659,1.8390384977141678,1.5430047989364455,0.8390280034128283,0.2629213236466983,0.2205983532339473,1.2426486515309485,1.2499256144230384,1.0058560099696119,0.2728629274337598,0.27446081545714934,0.815483193825844,1.4440056467962914,1.7707362429159708,0.7384512818048989,1.3076024483196895,0.9604090241966713,1.0353274820474594,1.078006824137719,0.2329616243094451,0.25113422076778935,56.20452221546953,14.430187569739056,0.6077072452272861,0.1560253372940427,0.0,252.0
"(0, 11000]",EVS,4.0,microforceps,439.2584226989368,0.428075836915687,4.183413549513682,5.603960449421924,1.3395664528727693,1.0,1.3395664528727693,2.9800180304479036,3.925786056289848,1.3173699005102306,0.7923804493166899,1.0438581536825797,0.7786170393522076,1.6109503033227344,2.06898927444872,0.625731382810568,1.2946315197210312,2.4348584773195565,2.753157530748567,1.1307258949109082,0.8430143720028301,0.9532181802056575,52.63591840145607,15.666935913310647,0.5691219800628967,0.16939758741352573,0.0,106.0
