,mag_chg,class,action,action_change,gaze_tool_mean,gaze_tool_sd,gaze_tool_mean_norm,gaze_tool_sd_norm,gaze_missing
27,"(10713, 32300]",microforceps,D,53.0,52.27388699635709,4.692504620126109,0.3668095051054901,0.03292763167838727,0.02247191011235955
30,"(10713, 32300]",microforceps,EVS,33.0,109.16300826226521,19.141375532984746,0.7660044304587205,0.1343163650099671,0.0
33,"(10713, 32300]",microforceps,EVS,41.0,39.99664094925059,23.19274169763373,0.280659214676326,0.16274508350108646,0.1223021582733813
34,"(10713, 32300]",microforceps,EVS,46.0,57.72519081923793,33.66839382408877,0.40506168362800815,0.23625346393642757,0.028455284552845527
36,"(10713, 32300]",microforceps,EVS,52.0,54.055340293363244,21.377523439639287,0.3793100869407171,0.15000757058340747,0.0784313725490196
38,"(10713, 32300]",microscissors,D,14.0,58.93080997431301,16.20548555064571,0.5214096069111034,0.14338333130749148,0.11180609851446442
39,"(10713, 32300]",microscissors,D,16.0,54.31411427249459,13.222825443962748,0.48056188239887326,0.11699327092222146,0.07647058823529412
40,"(10713, 32300]",microscissors,D,19.0,50.17285937239803,9.736333632686398,0.4439207758110081,0.08614539481787516,0.043478260869565216
41,"(10713, 32300]",microscissors,D,21.0,47.53515214100012,5.685454162765497,0.42058279876183396,0.05030391439402938,0.02040816326530612
43,"(10713, 32300]",microscissors,D,25.0,87.4807422719702,53.2899816469175,0.7740144664599321,0.4715005341845903,0.06432748538011696
45,"(10713, 32300]",microscissors,D,32.0,113.022102380174,51.112702928346295,1.0,0.4522363489259631,0.1559633027522936
46,"(10713, 32300]",microscissors,D,34.0,111.94460915505914,25.022842879665774,0.9904665264366568,0.2213977828468992,0.013745704467353952
49,"(10713, 32300]",microscissors,D,40.0,97.37224549757168,33.550627446743114,0.8615327749791746,0.29685014470787674,0.08311688311688312
50,"(10713, 32300]",microscissors,D,44.0,89.38429105414059,22.569032614848073,0.7908567366184485,0.19968689432914907,0.05935251798561151
53,"(10713, 32300]",microscissors,D,50.0,67.25653794383041,20.988978161505454,0.5950742069688163,0.18570684600171866,0.014778325123152709
54,"(10713, 32300]",microscissors,D,51.0,78.95275238006252,18.316445262755657,0.6985602879203933,0.16206073747543978,0.028125
